variable_group,content_json,variable,classification,2021_data_available_geotypes,2011_2021_comparison_data_available_geotypes
Education,2021-EDU,highest_qualification,highest_qualification,"oa,msoa,lad",
Education,2021-EDU,highest_qualification,highest_qualification_6a,"oa,msoa,lad",
Education,2021-EDU,in_full_time_education,in_full_time_education,"oa,msoa,lad",lad
Housing,2021-HOU,accommodation_type,accommodation_type,"oa,msoa,lad",lad
Housing,2021-HOU,accommodation_type,accommodation_type_3a,"oa,msoa,lad","oa,msoa,lad"
Housing,2021-HOU,accommodation_type,accommodation_type_5a,"oa,msoa,lad","oa,msoa,lad"
Housing,2021-HOU,alternative_address_indicator,alternative_address_indicator,"oa,msoa,lad",lad
Housing,2021-HOU,heating_type,heating_type,"oa,msoa,lad",
Housing,2021-HOU,heating_type,heating_type_3a,"oa,msoa,lad","oa,msoa,lad"
Housing,2021-HOU,hh_tenure,hh_tenure_5a,"oa,msoa,lad","oa,msoa,lad"
Housing,2021-HOU,hh_tenure,hh_tenure_9a,"oa,msoa,lad",lad
Housing,2021-HOU,number_bedrooms,number_bedrooms_5a,"oa,msoa,lad","oa,msoa,lad"
Housing,2021-HOU,occupancy_rating_bedrooms,occupancy_rating_bedrooms_6a,"oa,msoa,lad","oa,msoa,lad"
Housing,2021-HOU,occupancy_rating_rooms,occupancy_rating_rooms_6a,"oa,msoa,lad",
Housing,2021-HOU,second_address_type_priority,second_address_type_priority,"oa,msoa,lad","oa,msoa,lad"
Identity,2021-DEM,hh_multi_ethnic_group,hh_multi_ethnic_group,"oa,msoa,lad",lad
Identity,2021-EILR,english_proficiency,english_proficiency,"oa,msoa,lad",lad
Identity,2021-EILR,english_proficiency,english_proficiency_4a,"oa,msoa,lad","oa,msoa,lad"
Identity,2021-EILR,ethnic_group_tb,ethnic_group_tb_20b,"oa,msoa,lad",lad
Identity,2021-EILR,ethnic_group_tb,ethnic_group_tb_6a,"oa,msoa,lad","oa,msoa,lad"
Identity,2021-EILR,hh_language,hh_language,"oa,msoa,lad","oa,msoa,lad"
Identity,2021-EILR,hh_multi_language,hh_multi_language,"oa,msoa,lad",
Identity,2021-EILR,hh_multi_language,hh_multi_language_3a,"oa,msoa,lad",
Identity,2021-EILR,hh_multi_religion,hh_multi_religion_7a,"oa,msoa,lad",
Identity,2021-EILR,main_language_detailed,main_language_detailed,lad,lad
Identity,2021-EILR,main_language_detailed,main_language_detailed_23a,lad,lad
Identity,2021-EILR,national_identity_all,national_identity_all,"oa,msoa,lad",lad
Identity,2021-EILR,national_identity_all,national_identity_all_4a,"oa,msoa,lad","oa,msoa,lad"
Identity,2021-EILR,national_identity_all,national_identity_all_9a,"oa,msoa,lad","oa,msoa,lad"
Identity,2021-EILR,national_identity_detailed,national_identity_detailed,"msoa,lad","msoa,lad"
Identity,2021-EILR,religion_tb,religion_tb,"oa,msoa,lad","oa,msoa,lad"
Identity,2021-EILR,welsh_skills_all,welsh_skills_all,"oa,msoa,lad",lad
Identity,2021-EILR,welsh_skills_all,welsh_skills_all_4b,"oa,msoa,lad","msoa,lad"
Identity,2021-EILR,welsh_skills_all,welsh_skills_all_6a,"oa,msoa,lad","msoa,lad"
Identity,2021-EILR,welsh_skills_speak,welsh_skills_speak,"oa,msoa,lad","msoa,lad"
Identity,2021-SOGI,gender_identity,gender_identity_4a,"msoa,lad",
Identity,2021-SOGI,gender_identity,gender_identity_8a,lad,
Identity,2021-SOGI,sexual_orientation,sexual_orientation_4a,"msoa,lad",
Identity,2021-SOGI,sexual_orientation,sexual_orientation_6a,"msoa,lad",
Identity,2021-SOGI,sexual_orientation,sexual_orientation_9a,lad,
Population,2021-ARM,uk_armed_forces,uk_armed_forces,"msoa,lad",
Population,2021-DEM,hh_deprivation,hh_deprivation,"oa,msoa,lad",
Population,2021-DEM,hh_family_composition,hh_family_composition_15a,"oa,msoa,lad",
Population,2021-DEM,hh_family_composition,hh_family_composition_4a,"oa,msoa,lad","oa,msoa,lad"
Population,2021-DEM,hh_size,hh_size_5a,"oa,msoa,lad","oa,msoa,lad"
Population,2021-DEM,hh_size,hh_size_9a,"oa,msoa,lad",lad
Population,2021-DEM,legal_partnership_status,legal_partnership_status,"oa,msoa,lad",
Population,2021-DEM,legal_partnership_status,legal_partnership_status_3a,"oa,msoa,lad","oa,msoa,lad"
Population,2021-DEM,legal_partnership_status,legal_partnership_status_6a,"oa,msoa,lad",lad
Population,2021-DEM,living_arrangements,living_arrangements_11a,"msoa,lad","msoa,lad"
Population,2021-DEM,number_of_cars,number_of_cars_3a,"oa,msoa,lad","oa,msoa,lad"
Population,2021-DEM,number_of_cars,number_of_cars_5a,"oa,msoa,lad",lad
Population,2021-DEM,resident_age,resident_age_101a,"msoa,lad",lad
Population,2021-DEM,resident_age,resident_age_11a,"msoa,lad","msoa,lad"
Population,2021-DEM,resident_age,resident_age_3a,"msoa,lad","msoa,lad"
Population,2021-DEM,resident_age,resident_age_8c,"msoa,lad","msoa,lad"
Population,2021-DEM,sex,sex,"oa,msoa,lad","oa,msoa,lad"
Population,2021-MIG,age_arrival_uk,age_arrival_uk_18a,"oa,msoa,lad",lad
Population,2021-MIG,country_of_birth,country_of_birth_12a,"oa,msoa,lad",lad
Population,2021-MIG,country_of_birth,country_of_birth_3a,"oa,msoa,lad","oa,msoa,lad"
Population,2021-MIG,country_of_birth,country_of_birth_60a,lad,lad
Population,2021-MIG,country_of_birth,country_of_birth_8a,lad,lad
Population,2021-MIG,migrant_ind,migrant_ind,"oa,msoa,lad","oa,msoa,lad"
Population,2021-MIG,passports_all,passports_all_13a,"msoa,lad","msoa,lad"
Population,2021-MIG,passports_all,passports_all_18a,"msoa,lad","msoa,lad"
Population,2021-MIG,passports_all,passports_all_27a,"oa,msoa,lad",lad
Population,2021-MIG,passports_all,passports_all_4a,"oa,msoa,lad","msoa,lad"
Population,2021-MIG,passports_all,passports_all_52a,"msoa,lad",lad
Population,2021-MIG,residence_length,residence_length_6b,"oa,msoa,lad","oa,msoa,lad"
Population,2021-MIG,year_arrival_uk,year_arrival_uk,"oa,msoa,lad",
Population,2021-MIG,year_arrival_uk,year_arrival_uk_6a,"oa,msoa,lad",
Work,2021-LAB,economic_activity,economic_activity_status_10a,"oa,msoa,lad",lad
Work,2021-LAB,economic_activity,economic_activity_status_3a,"oa,msoa,lad",
Work,2021-LAB,economic_activity,economic_activity_status_4a,"oa,msoa,lad","oa,msoa,lad"
Work,2021-LAB,has_ever_worked,has_ever_worked,"oa,msoa,lad",
Work,2021-LAB,hours_per_week_worked,hours_per_week_worked,"oa,msoa,lad",lad
Work,2021-LAB,hours_per_week_worked,hours_per_week_worked_3a,"oa,msoa,lad","oa,msoa,lad"
Work,2021-LAB,industry_current,industry_current_88a,"msoa,lad",lad
Work,2021-LAB,ns_sec,ns_sec_10a,"oa,msoa,lad",
Work,2021-LAB,occupation_current,occupation_current_10a,"msoa,lad",
Work,2021-TTW,transport_to_workplace,transport_to_workplace_12a,"msoa,lad",
Work,2021-TTW,workplace_travel,workplace_travel,"msoa,lad",
Work,2021-TTW,workplace_travel,workplace_travel_4a,"msoa,lad",
Work,2021-TTW,workplace_travel,workplace_travel_5a,"msoa,lad",